layer_id,clean_mean_target_prob,perturbed_mean_target_prob,delta_prob,dr_de
0,0.11941894963383674,0.10727953240275383,0.012139417231082916,-0.012139417231082916
1,0.11941894963383674,0.10632542595267296,0.013093523681163788,-0.013093523681163788
2,0.11941894963383674,0.11413392797112465,0.005285021662712094,-0.005285021662712094
3,0.11941894963383674,0.11678990498185157,0.0026290446519851712,-0.0026290446519851712
4,0.11941894963383674,0.11511463299393654,0.004304316639900205,-0.004304316639900205
5,0.11941894963383674,0.1160669468343258,0.0033520027995109503,-0.0033520027995109503
6,0.11941894963383674,0.1264986924827099,-0.007079742848873152,0.007079742848873152
7,0.11941894963383674,0.11970625147223472,-0.00028730183839797974,0.00028730183839797974
8,0.11941894963383674,0.11876036822795868,0.0006585814058780587,-0.0006585814058780587
9,0.11941894963383674,0.11431397944688797,0.005104970186948776,-0.005104970186948776
10,0.11941894963383674,0.11976264417171478,-0.0003436945378780393,0.0003436945378780393
11,0.11941894963383674,0.11579791828989983,0.0036210313439369174,-0.0036210313439369174
12,0.11941894963383674,0.12425017952919007,-0.004831229895353326,0.004831229895353326
13,0.11941894963383674,0.11804996058344841,0.0013689890503883334,-0.0013689890503883334
14,0.11941894963383674,0.11641351506114006,0.003005434572696683,-0.003005434572696683
15,0.11941894963383674,0.11919598802924156,0.0002229616045951871,-0.0002229616045951871
16,0.11941894963383674,0.11497547850012779,0.004443471133708951,-0.004443471133708951
17,0.11941894963383674,0.11583633571863175,0.0035826139152049935,-0.0035826139152049935
18,0.11941894963383674,0.11938454657793045,3.4403055906295776e-05,-3.4403055906295776e-05
19,0.11941894963383674,0.11547116413712502,0.003947785496711723,-0.003947785496711723
20,0.11941894963383674,0.11894798725843429,0.00047096237540245056,-0.00047096237540245056
21,0.11941894963383674,0.117901261895895,0.0015176877379417392,-0.0015176877379417392
22,0.11941894963383674,0.12013650238513947,-0.0007175527513027247,0.0007175527513027247
23,0.11941894963383674,0.11772696077823638,0.0016919888556003598,-0.0016919888556003598
