layer_idx,clean_acc,perturbed_acc,delta,dr_de
0,0.06924276912266797,0.07006566676519906,-0.0008228976425310869,-0.0008228976425310869
1,0.06924276912266797,0.06968518809665121,-0.00044241897398324126,-0.00044241897398324126
2,0.06924276912266797,0.06851237705767235,0.0007303920649956164,0.0007303920649956164
3,0.06924276912266797,0.06794304440558427,0.0012997247170837,0.0012997247170837
4,0.06924276912266797,0.06832445907610682,0.0009183100465611493,0.0009183100465611493
5,0.06924276912266797,0.06912026561396253,0.00012250350870543492,0.00012250350870543492
6,0.06924276912266797,0.06942437358647244,-0.00018160446380446893,-0.00018160446380446893
7,0.06924276912266797,0.069577358642916,-0.00033458952024803534,-0.00033458952024803534
8,0.06924276912266797,0.0693831940842293,-0.00014042496156133066,-0.00014042496156133066
9,0.06924276912266797,0.06937686346284636,-0.00013409434017838673,-0.00013409434017838673
10,0.06924276912266797,0.0692718221090487,-2.905298638072873e-05,-2.905298638072873e-05
11,0.06924276912266797,0.06928595108492287,-4.3181962254904005e-05,-4.3181962254904005e-05
