layer_idx,reliability_r_l,analytical_derivative
0,0.5600733621465892,0.02365825991078475
1,0.6423781532144655,0.02062704203819225
2,0.9756909668826496,0.013580489745750365
3,0.9957123433592772,0.01330741881341731
4,0.9910558638997792,0.013369943767479719
5,0.9898951505475845,0.013385620854331213
6,0.9821917253701377,0.013490605579860388
7,0.9783625227234116,0.013543406317207258
8,0.9764535232853357,0.013569884131493997
9,0.981424687747777,0.013501149233548098
10,0.976835024950062,0.013564584430670337
11,0.9772166756679861,0.01355928679963803
12,0.9779804244963916,0.01354869774371437
13,0.9764535232853357,0.013569884131493997
14,0.9741676401558225,0.013601725847361986
15,0.9741676401558225,0.013601725847361986
16,0.964323822810633,0.013740572261454016
17,0.9375800622974299,0.014132511668712992
18,0.9321024923595276,0.014215562429437422
19,0.9133601567454361,0.014507268652911152
20,0.8711939733758272,0.015209427034287995
21,0.4998939140357966,0.026506346244139802
22,0.46686331570996537,0.02838167130484664
23,0.3099368478868503,0.042751809799680345
